,RandomID,Seqplates
310,1510654,23_G7
311,1513624,15_H2
312,1515529,2_A7
313,1515529,3_E4
314,1527306,12_B12
315,1545501,8_A1
316,1606519,22_F8
317,1630468,9_G9
318,1646739,19_A3
319,1679479,18_F2
320,1684530,7_G3
321,1694137,20_D12
322,1696731,25_A1
323,1698358,9_H9
324,1701972,7_C4
325,1703799,9_B7
326,1733826,15_H1
327,1733826,19_C10
328,1758904,22_G8
329,1760318,6_D3
330,1771888,2_B10
331,1776474,13_F1
332,1776474,13_C9
333,1776474,15_A3
334,1782270,20_F6
335,1788457,16_F5
336,1789292,16_A4
337,1794020,16_B6
338,1796584,11_D11
339,1818500,8_F9
340,1819568,25_D12
341,1820489,25_D2
342,1837933,9_F4
343,1844098,8_G12
344,1853180,1_B10
345,1855818,14_A11
346,1860738,1_C10
347,1863990,7_C1
348,1864563,22_B9
349,1886229,14_A3
350,1887522,12_H7
351,1897215,12_A10
352,1897215,14_C5
353,1901096,9_E7
354,1901100,9_A5
355,1905256,1_E5
356,1907609,22_H10
357,1911158,8_B2
358,1911387,8_D2
359,1913022,19_D5
360,1914718,8_F2
361,1916921,8_H2
362,1916922,9_B5
363,1916922,24_G7
364,1923315,22_A12
365,1932051,16_B4
366,1934106,19_C12
367,1934732,22_C11
368,1945859,22_G10
369,1951961,18_A8
370,1956237,8_C3
371,1961011,12_C7
372,1964093,12_A2
373,1975636,25_D4
374,1988382,10_H6
375,1997225,14_F10
376,2005258,22_F6
377,2016070,3_A12
378,2016772,10_E1
379,2018335,10_G6
380,2018743,19_C6
381,2018743,18_B2
382,2021047,17_G11
383,2022807,22_G9
384,2027986,13_B1
385,2028611,12_C3
386,2030659,25_A4
387,2034834,24_C7
388,2037217,10_A9
389,2040184,15_D6
390,2042850,22_D8
391,2045097,25_C6
392,2049718,8_E3
393,2056204,5_B7
394,2056204,5_B8
395,2061284,10_E5
396,2067247,17_D11
397,2076818,22_F1
398,2088752,22_B12
399,2101440,22_F11
400,2108467,18_D4
401,2110294,5_B3
402,2111023,25_G12
403,2114373,9_E5
404,2117455,16_D11
405,2123381,21_D5
406,2124642,12_D10
407,2148319,14_B5
408,2156698,8_G3
409,2156698,12_D2
410,2156698,15_D12
411,2156698,25_C10
412,2160325,16_G12
413,2164621,15_D8
414,2164621,20_A8
415,2169768,20_A3
416,2177398,19_C8
417,2193623,9_G5
418,2201371,23_D3
419,2205530,17_C6
420,2205935,20_C9
421,2230349,17_F3
422,2255876,21_C2
423,2255876,22_C3
424,2264025,25_H5
425,2264025,24_B11
426,2268421,9_H5
427,2269344,14_D10
428,2279361,22_F12
429,2281873,15_H9
430,2292095,9_C10
431,2292864,16_B12
432,2293971,20_B10
433,2306505,13_C6
434,2311426,10_C3
435,2328178,17_C7
436,2332461,11_H10
437,2338953,18_B5
438,2343011,12_G12
439,2350210,23_B6
440,2362585,6_C3
441,2364084,3_C11
442,2385732,24_H6
443,2395687,21_D12
444,2406417,18_D11
445,2416283,17_F10
446,2425011,8_D4
447,2444448,24_B8
448,2451314,19_F9
449,2457262,9_C12
450,2457741,21_H9
451,2462465,6_D8
452,2463019,8_F4
453,2463373,19_H4
454,2464680,24_G3
455,2467961,19_D11
456,2476284,25_H4
457,2476926,8_B5
458,2480953,18_H4
459,2487093,21_A4
460,2489591,19_B8
461,2490602,15_C8
462,2503507,1_A6
463,2504672,16_B11
464,2515273,24_H10
465,2520677,16_G11
466,2525104,9_F7
467,2533189,17_A11
468,2557265,10_C5
469,2564741,10_H3
470,2566406,16_C9
471,2566406,23_B5
472,2569004,1_C6
473,2572469,19_F3
474,2575092,12_C10
475,2575092,14_F1
476,2585044,15_F8
477,2606816,14_G8
478,2609259,14_F4
479,2634808,20_G10
480,2640773,24_H3
481,2642631,19_H11
482,2670142,24_A6
483,2671298,25_G8
484,2672220,12_G7
485,2699408,15_B10
486,2700929,18_G12
487,2705819,5_C9
488,2710278,7_B2
489,2714584,7_F1
490,2720118,18_H5
491,2721505,13_D11
492,2730993,21_B12
493,2733292,14_A5
494,2738523,19_G1
495,2753061,23_G3
496,2753061,23_A9
497,2756510,9_G6
498,2758058,13_F11
499,2759760,19_F8
500,2761334,6_F2
501,2761479,7_F2
502,2761479,10_B4
503,2761479,19_A5
504,2761479,21_H11
505,2765503,16_A5
506,2766800,14_G10
507,2768473,14_A8
508,2769023,7_B3
509,2773648,10_C8
510,2782246,11_C9
511,2794641,3_G12
512,2802317,15_C12
513,2804139,7_H2
514,2811778,1_C1
515,2829284,7_E3
516,2837342,21_B11
517,2852348,8_B8
518,2860177,15_B5
519,2870264,15_G8
520,2874619,8_D12
521,2876361,9_C7
522,2883355,12_H5
523,2884700,19_B12
524,2884963,1_E7
525,2892236,5_F10
526,2897446,20_B12
527,2902274,7_D5
528,2911308,11_B11
529,2919640,21_B9
530,2921356,13_F8
531,2928527,8_B9
532,2932924,7_A5
533,2937314,15_G3
534,2939120,16_A7
535,2946713,9_G7
536,2946713,9_H7
537,2946713,9_A8
538,2946713,8_D8
539,2949255,7_C5
540,2950038,1_F1
541,2964228,15_C3
542,2965215,1_G12
543,2965215,1_H12
544,2965215,3_D8
545,2965215,3_H9
546,2966732,18_G9
547,2976536,9_C8
548,2982606,17_C10
549,2984804,8_H9
550,3001482,15_D11
551,3002909,3_H11
552,3005834,18_B6
553,3006504,2_D7
554,3006573,12_C9
555,3010571,12_H3
556,3021733,9_H8
557,3024882,1_E8
558,3026167,16_H4
559,3029276,23_D4
560,3031628,9_A9
561,3033548,13_G1
562,3033548,14_A7
563,3034671,11_F9
564,3066912,11_F11
565,3067652,21_F7
566,3067983,1_G8
567,3067983,3_B9
568,3075275,19_B4
569,3081648,22_B11
570,3086977,15_A2
571,3091928,9_A10
572,3092925,10_E7
573,3097652,9_C6
574,3100321,14_D3
575,3118583,10_G3
576,3125091,17_B2
577,3133877,11_G11
578,3143914,8_B11
579,3146843,10_F9
580,3149174,15_G7
581,3149174,15_F6
582,3155548,12_D6
583,3172941,22_C4
584,3177871,10_H7
585,3177871,13_B8
586,3181141,9_E9
587,3199798,1_C9
588,3199798,1_D9
